Symbol,Date,Open,High,Low,Close,Volume
JPM,02-Jan-2025,240.92,243.276,239.45,240,9220900
JPM,03-Jan-2025,243.89,244.88,240.26,243.28,9491000
JPM,06-Jan-2025,243.695,245.69,240.58,240.85,9917800
JPM,07-Jan-2025,242.14,245.26,240.9,243.17,8753300
JPM,08-Jan-2025,242.75,244.25,240.5,243.13,8675200
JPM,10-Jan-2025,243.09,243.81,238.74,239.87,10256800
JPM,13-Jan-2025,239.67,244.54,239,244.21,10005300
JPM,14-Jan-2025,242.66,247.72,242.19,247.47,12407300
JPM,15-Jan-2025,250.4,253.6699,243.68,252.35,18448500
JPM,16-Jan-2025,254,257.035,252.33,254.27,15292300
JPM,17-Jan-2025,254.14,260.62,252.14,259.16,17678100
JPM,21-Jan-2025,260.07,264.25,259.5037,263.03,13712100
JPM,22-Jan-2025,262.9,263.38,260.25,262.84,9021900
JPM,23-Jan-2025,264.69,266.8599,263.81,265.95,10749600
JPM,24-Jan-2025,263.69,267.1,263.01,264.84,7666200
JPM,27-Jan-2025,264.17,265.97,262.26,265.85,7522200
JPM,28-Jan-2025,265.85,267.33,264.8301,267.14,7375300
JPM,29-Jan-2025,267.21,270.68,265.61,266.58,7684800
JPM,30-Jan-2025,268.63,269.7,266.6201,268.23,8753400
JPM,31-Jan-2025,269.23,270.82,266.96,267.3,7196200
JPM,03-Feb-2025,261.83,268.165,261.7009,266.81,8381300
JPM,04-Feb-2025,269.84,269.84,266.83,267.94,5625900
JPM,05-Feb-2025,268.91,270.64,268.33,270.43,5704400
JPM,06-Feb-2025,272.45,276.98,271.19,276.9,7264300
JPM,07-Feb-2025,277.27,278.55,274.715,275.8,6857800
JPM,10-Feb-2025,276.15,276.18,269.59,271.04,8627300
JPM,11-Feb-2025,270.26,276.22,269.66,274.99,7196300
JPM,12-Feb-2025,274.08,276.45,273.25,275.45,6683800
JPM,13-Feb-2025,275.5,276.97,273.81,276.32,8398600
JPM,14-Feb-2025,277.37,279.2334,276.45,276.59,5688600
JPM,18-Feb-2025,276.76,279.97,276.02,279.95,7919700
JPM,19-Feb-2025,278.38,280.25,277.22,279.25,7007200
JPM,20-Feb-2025,278.675,278.74,265.735,266.8,13846600
JPM,21-Feb-2025,268.32,269.1955,262.84,264.24,12835500
JPM,24-Feb-2025,265.49,267,258.61,261.34,10372700
JPM,25-Feb-2025,262.23,263,253.35,257.4,9608400
JPM,26-Feb-2025,257.16,260.9115,256.93,258.79,5943500
JPM,27-Feb-2025,260.18,263.64,257.86,259.05,8204400
JPM,28-Feb-2025,260.73,264.81,257.89,264.65,10467100
JPM,03-Mar-2025,264,266.32,257.82,260.62,9058300
JPM,04-Mar-2025,255.28,257.23,245.95,250.25,13459500
JPM,05-Mar-2025,251.25,253.05,247.83,251.53,7859400
JPM,06-Mar-2025,248.11,249.36,243.85,246.54,9983200
JPM,07-Mar-2025,245.23,246.72,239.42,242.28,20498700
JPM,10-Mar-2025,236.21,237.51,228.695,232.22,18887100
JPM,11-Mar-2025,231.74,233.32,226.69,229.14,18142900
JPM,12-Mar-2025,234,234.32,227.26,227.9,16054000
